states,x,y
Jammu And Kashmir,-99.0,127.0
Rajasthan,-140.0,-17.0
Gujarat,-177.0,-79.0
Maharastra,-116.0,-146.0
Goa,-135.0,-220.0
Karnataka,-106.0,-233.0
Andhra Pradesh,-56.0,-202.0
Tamil Nadu,-64.0,-293.0
Kerela,-98.0,-305.0
Odisha,34.0 -127.0
Chattisgarh,-5.0,-107.0
Bihar,53.0,-39.0
Jharkhand,45.0,-78.0
West Bengal,89.0,-88.0
Uttar Pradesh,-29.0,-14.0
Madhya Pradesh,-63.0,-84.0
Haryana,-97.0,23.0
Delhi,-79.0,13.0
Punjab,-116.0,56.0
Himachal Pradesh,-84.0,79.0
Uttarakhand,-51.0,50.0
Sikkim,98.0,-0.0
Arunachal Pradesh,203.0,15.0
Assam,171.0,-24.0
Nagaland,203.0,-30.0
Manipur,193.0,-59.0
Mizoram,171.0,-88.0
Tripura,152.0,-72.0
Meghalaya,136.0,-41.0